order_id,size,side,order_price,size_multiple,seconds_to_delete,risk_score,risk_level
266888125,2099,Buy,578.62,20.99,0.0003482989995973,7,High
251114227,2000,Sell,579.69,250.0,0.0757677860019612,6,Medium
181083277,2000,Buy,583.02,20.0,0.005517826997675,6,Medium
260981833,2000,Buy,578.47,20.0,0.0069342610004241,6,Medium
181087986,2000,Buy,583.07,20.0,0.0085691770000266,6,Medium
253792634,1628,Sell,580.15,203.5,0.0249793719995068,5,Medium
180891504,1000,Buy,583.0,27.03,0.0050919109999085,5,Medium
181083701,2000,Buy,583.04,20.0,0.0104542970002512,5,Medium
260724595,2000,Buy,578.35,20.0,0.0275266039971029,5,Medium
245797164,2000,Sell,581.02,20.0,0.037179863997153,5,Medium
